Capture 1,1/27/2019,2/6/2019,Capture 2,5/20/2019,7/26/2019,Capture 3,10/11/2019,12/18/2019,1/18/2020,2/6/2020,5/28/2020,7/29/2020,10/27/2020,1/14/2021,1/27/2021
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,0
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,NA,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,0
NA,NA,NA,1,1,NA,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,0
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,NA,NA,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,NA,NA,NA
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0,0
1,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
1,1,1,1,1,1,1,1,1,1,1,1,NA,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,0,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,NA,NA,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,0,0,0,0,0,0
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,NA
NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,NA,NA,NA,NA,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,NA,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,0,0,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,NA,NA
1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1,NA,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,1,1,1,1,1,NA,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,1
NA,NA,NA,1,NA,0,0,0,0,0,0,0,0,0,0,0
NA,NA,NA,1,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,NA,NA
NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA
